r                        V(r)
5.005005005005004962e-03 1.618846974761686732e+29
1.001001001001000992e-02 3.952263121972864968e+25
1.501501501501501488e-02 3.046146185076767604e+23
2.002002002002001985e-02 9.649079887055143567e+21
2.502502502502502307e-02 6.630797207335951401e+20
3.003003003003002977e-02 7.436880332371412582e+19
3.503503503503503647e-02 1.169578343486417920e+19
4.004004004004003969e-02 2.355732409957954048e+18
4.504504504504504292e-02 5.731861638332193920e+17
5.005005005005004615e-02 1.618847155773610560e+17
5.505505505505505631e-02 5.158147077446341600e+16
6.006006006006005954e-02 1.815646217748421200e+16
6.506506506506506970e-02 6.948426901751128000e+15
7.007007007007007293e-02 2.855429371831543000e+15
7.507507507507507616e-02 1.247713769949904000e+15
8.008008008008007939e-02 5.751411511522927500e+14
8.508508508508508261e-02 2.778654756223068438e+14
9.009009009009008584e-02 1.399472182205590938e+14
9.509509509509508907e-02 7.314961720951068750e+13
1.001001001001000923e-01 3.953017883365179688e+13
1.051051051051051094e-01 2.201451488559678125e+13
1.101101101101101126e-01 1.259931658562267969e+13
1.151151151151151159e-01 7.392664291032061523e+12
1.201201201201201191e-01 4.437796641529756836e+12
1.251251251251251362e-01 2.720563691222060059e+12
1.301301301301301394e-01 1.700542878271670654e+12
1.351351351351351426e-01 1.082309313179870117e+12
1.401401401401401459e-01 7.005241123187445068e+11
1.451451451451451491e-01 4.606184088507991943e+11
1.501501501501501523e-01 3.073994428102517090e+11
1.551551551551551555e-01 2.080452221627178345e+11
1.601601601601601588e-01 1.426926160640774841e+11
1.651651651651651620e-01 9.912260883234376526e+10
1.701701701701701652e-01 6.970239371429562378e+10
1.751751751751751685e-01 4.959483934056060791e+10
1.801801801801801717e-01 3.569266432914249420e+10
1.851851851851851749e-01 2.597411006531943130e+10
1.901901901901901781e-01 1.910770784198029327e+10
1.951951951951951814e-01 1.420648634725820541e+10
2.002002002002001846e-01 1.067311637285127068e+10
2.052052052052052156e-01 8.101140889898027420e+09
2.102102102102102188e-01 6.211238563970860481e+09
2.152152152152152220e-01 4.809636401121964455e+09
2.202202202202202252e-01 3.760687130465783119e+09
2.252252252252252285e-01 2.968604468175817490e+09
2.302302302302302317e-01 2.365180993719373226e+09
2.352352352352352349e-01 1.901453205095599890e+09
2.402402402402402382e-01 1.541995561351842642e+09
2.452452452452452414e-01 1.260981437150127649e+09
2.502502502502502724e-01 1.039441914226855755e+09
2.552552552552552756e-01 8.633433764313480854e+08
2.602602602602602788e-01 7.222292808771390915e+08
2.652652652652652820e-01 6.082536403807142973e+08
2.702702702702702853e-01 5.154884782129913568e+08
2.752752752752752885e-01 4.394242653485304117e+08
2.802802802802802917e-01 3.766072217985643148e+08
