D   yield   yield_error
       1.0000E+00       0.0000E+00       0.0000E+00
       2.0000E+00       0.0000E+00       0.0000E+00
       3.0000E+00       0.1892E-03       0.2287E-04
       4.0000E+00       0.9363E-01       0.1709E-02
       5.0000E+00       0.4720E+00       0.1777E-02
       6.0000E+00       0.7205E+00       0.1181E-02
       7.0000E+00       0.8428E+00       0.1374E-02
       8.0000E+00       0.8969E+00       0.2071E-02
       9.0000E+00       0.9192E+00       0.2934E-02
      10.0000E+00       0.9326E+00       0.4630E-02
