Shear   Yield   Yield_err
       0.0000E+00       0.9845E+00       0.1783E-02
       0.5000E+01       0.9850E+00       0.4337E-03
       0.1000E+02       0.9773E+00       0.1180E-02
       0.1500E+02       0.9618E+00       0.1403E-02
       0.2000E+02       0.9440E+00       0.1491E-02
       0.2500E+02       0.9103E+00       0.1799E-02
       0.3000E+02       0.8653E+00       0.1991E-02
       0.3500E+02       0.8001E+00       0.1806E-02
       0.4000E+02       0.7357E+00       0.2307E-02
       0.4500E+02       0.6561E+00       0.2123E-02
       0.5000E+02       0.5820E+00       0.2130E-02
