D   yield   yield_error
       1.0000E+00       0.0000E+00       0.0000E+00
       2.0000E+00       0.0000E+00       0.0000E+00
       3.0000E+00       0.6081E-05       0.2685E-05
       4.0000E+00       0.4670E-02       0.1320E-03
       5.0000E+00       0.2372E-01       0.3863E-03
       6.0000E+00       0.3900E-01       0.7635E-03
       7.0000E+00       0.4901E-01       0.1325E-02
       8.0000E+00       0.5518E-01       0.2106E-02
       9.0000E+00       0.5970E-01       0.2928E-02
      10.0000E+00       0.5819E-01       0.4636E-02
