Shear   Yield   Yield_err
       0.0000E+00       0.9864E+00       0.2490E-03
       0.5000E+01       0.9844E+00       0.3266E-03
       0.1000E+02       0.9773E+00       0.4761E-03
       0.1500E+02       0.9681E+00       0.3909E-03
       0.2000E+02       0.9524E+00       0.7241E-03
       0.2500E+02       0.9347E+00       0.7564E-03
       0.3000E+02       0.9076E+00       0.1097E-02
       0.3500E+02       0.8706E+00       0.1303E-02
       0.4000E+02       0.8262E+00       0.1248E-02
       0.4500E+02       0.7639E+00       0.1588E-02
       0.5000E+02       0.6930E+00       0.1625E-02
