D   yield   yield_error
       1.0000E+00       0.0000E+00       0.0000E+00
       2.0000E+00       0.0000E+00       0.0000E+00
       3.0000E+00       0.1611E-04       0.4567E-05
       4.0000E+00       0.1619E-01       0.3248E-03
       5.0000E+00       0.5311E-01       0.8488E-03
       6.0000E+00       0.4126E-01       0.1492E-02
       7.0000E+00       0.2002E-01       0.1871E-02
       8.0000E+00       0.6028E-02       0.1324E-02
       9.0000E+00       0.5821E-02       0.1642E-02
      10.0000E+00       0.3929E-02       0.1658E-02
