Shear   Yield   Yield_err
       0.0000E+00       0.9796E+00       0.2143E-02
       0.5000E+01       0.9770E+00       0.2699E-02
       0.1000E+02       0.9652E+00       0.3764E-02
       0.1500E+02       0.9437E+00       0.3603E-02
       0.2000E+02       0.8807E+00       0.1714E-01
       0.2500E+02       0.8397E+00       0.3066E-02
       0.3000E+02       0.7369E+00       0.5853E-02
       0.3500E+02       0.6151E+00       0.1711E-01
       0.4000E+02       0.5024E+00       0.1359E-01
       0.4500E+02       0.3597E+00       0.4103E-02
       0.5000E+02       0.2625E+00       0.1009E-01
