D   yield   yield_error
       1.0000E+00       0.0000E+00       0.0000E+00
       2.0000E+00       0.0000E+00       0.0000E+00
       3.0000E+00       0.5903E-05       0.2584E-05
       4.0000E+00       0.9433E-02       0.2154E-03
       5.0000E+00       0.3232E-01       0.4854E-03
       6.0000E+00       0.2568E-01       0.7583E-03
       7.0000E+00       0.1393E-01       0.1012E-02
       8.0000E+00       0.6097E-02       0.1107E-02
       9.0000E+00       0.3818E-02       0.1121E-02
      10.0000E+00       0.8973E-02       0.3907E-02
