Shear   Yield   Yield_err
       0.0000E+00       0.9809E+00       0.1654E-02
       0.5000E+01       0.9791E+00       0.1101E-02
       0.1000E+02       0.9744E+00       0.2531E-02
       0.1500E+02       0.9538E+00       0.3287E-02
       0.2000E+02       0.9310E+00       0.7447E-02
       0.2500E+02       0.8944E+00       0.5194E-02
       0.3000E+02       0.8507E+00       0.5453E-02
       0.3500E+02       0.7767E+00       0.6923E-02
       0.4000E+02       0.6732E+00       0.6714E-02
       0.4500E+02       0.5781E+00       0.1074E-01
       0.5000E+02       0.4736E+00       0.5947E-02
