D   yield   yield_error
       0.1000E+01       0.0000E+00       0.0000E+00
       0.2000E+01       0.0000E+00       0.0000E+00
       0.3000E+01       0.2889E-06       0.1197E-06
       0.4000E+01       0.5658E-03       0.1075E-04
       0.5000E+01       0.8027E-03       0.8048E-05
       0.6000E+01       0.2954E-03       0.3692E-05
       0.7000E+01       0.7116E-04       0.1112E-05
       0.8000E+01       0.1441E-04       0.4204E-06
       0.9000E+01       0.3192E-05       0.1621E-06
       0.1000E+02       0.4492E-06       0.5225E-07
