Shear   Yield   Yield_err
       0.0000E+00       0.3298E-01       0.6907E-03
       0.5000E+01       0.2354E-01       0.1211E-02
       0.1000E+02       0.1568E-01       0.7158E-03
       0.1500E+02       0.7945E-02       0.1892E-03
       0.2000E+02       0.3682E-02       0.2307E-03
       0.2500E+02       0.1421E-02       0.2173E-03
       0.3000E+02       0.4589E-03       0.1427E-04
       0.3500E+02       0.1477E-03       0.1820E-04
       0.4000E+02       0.2750E-04       0.7583E-05
       0.4500E+02       0.8300E-05       0.1988E-05
       0.5000E+02       0.1152E-04       0.6367E-05
