D   yield   yield_error
       1.0000E+00       0.0000E+00       0.0000E+00
       2.0000E+00       0.0000E+00       0.0000E+00
       3.0000E+00       0.2996E-04       0.6409E-05
       4.0000E+00       0.4735E-01       0.8013E-03
       5.0000E+00       0.1578E+00       0.1833E-02
       6.0000E+00       0.1172E+00       0.2688E-02
       7.0000E+00       0.6213E-01       0.4126E-02
       8.0000E+00       0.2320E-01       0.3966E-02
       9.0000E+00       0.1232E-01       0.2895E-02
      10.0000E+00       0.2071E-01       0.1059E-01
