Shear   Yield   Yield_err
       0.0000E+00       0.9736E+00       0.1289E-02
       0.5000E+01       0.9711E+00       0.1588E-02
       0.1000E+02       0.9663E+00       0.2570E-02
       0.1500E+02       0.9293E+00       0.1269E-01
       0.2000E+02       0.8895E+00       0.6109E-02
       0.2500E+02       0.8061E+00       0.1188E-01
       0.3000E+02       0.6929E+00       0.7071E-02
       0.3500E+02       0.6112E+00       0.1468E-01
       0.4000E+02       0.4666E+00       0.9096E-02
       0.4500E+02       0.3789E+00       0.7234E-02
       0.5000E+02       0.3030E+00       0.3821E-02
