D   yield   yield_error
       1.0000E+00       0.0000E+00       0.0000E+00
       2.0000E+00       0.0000E+00       0.0000E+00
       3.0000E+00       0.1171E-04       0.3430E-05
       4.0000E+00       0.1174E-01       0.2420E-03
       5.0000E+00       0.3838E-01       0.4066E-03
       6.0000E+00       0.2902E-01       0.2016E-03
       7.0000E+00       0.1376E-01       0.1128E-03
       8.0000E+00       0.5667E-02       0.4630E-04
       9.0000E+00       0.2211E-02       0.1731E-04
      10.0000E+00       0.8384E-03       0.1461E-04
