Shear   Yield   Yield_err
       0.0000E+00       0.2178E+00       0.2602E-02
       0.5000E+01       0.2048E+00       0.1577E-02
       0.1000E+02       0.1791E+00       0.1776E-02
       0.1500E+02       0.1307E+00       0.2442E-02
       0.2000E+02       0.8760E-01       0.2647E-02
       0.2500E+02       0.4759E-01       0.2412E-02
       0.3000E+02       0.2869E-01       0.1181E-02
       0.3500E+02       0.1345E-01       0.6723E-03
       0.4000E+02       0.6420E-02       0.6941E-03
       0.4500E+02       0.3212E-02       0.1965E-03
       0.5000E+02       0.1216E-02       0.1203E-03
