D   yield   yield_error
       1.0000E+00       0.0000E+00       0.0000E+00
       2.0000E+00       0.0000E+00       0.0000E+00
       3.0000E+00       0.7794E-06       0.3370E-06
       4.0000E+00       0.2727E-03       0.7713E-05
       5.0000E+00       0.6057E-03       0.9365E-05
       6.0000E+00       0.2605E-03       0.3121E-05
       7.0000E+00       0.6961E-04       0.1299E-05
       8.0000E+00       0.1484E-04       0.5123E-06
       9.0000E+00       0.3171E-05       0.1897E-06
      10.0000E+00       0.6254E-06       0.7914E-07
