Shear   Yield   Yield_err
       0.0000E+00       0.2905E-01       0.5512E-03
       0.5000E+01       0.2147E-01       0.1919E-03
       0.1000E+02       0.1303E-01       0.6545E-03
       0.1500E+02       0.7222E-02       0.4499E-03
       0.2000E+02       0.3678E-02       0.2330E-03
       0.2500E+02       0.1424E-02       0.7656E-04
       0.3000E+02       0.4366E-03       0.2574E-04
       0.3500E+02       0.2059E-03       0.2435E-04
       0.4000E+02       0.7225E-04       0.1105E-04
       0.4500E+02       0.2495E-04       0.5520E-05
       0.5000E+02       0.2218E-04       0.4028E-05
