D   yield   yield_error
       0.1000E+01       0.0000E+00       0.0000E+00
       0.2000E+01       0.0000E+00       0.0000E+00
       0.3000E+01       0.3514E-05       0.1321E-05
       0.4000E+01       0.7668E-02       0.1168E-03
       0.5000E+01       0.1550E-01       0.1045E-03
       0.6000E+01       0.8870E-02       0.5039E-04
       0.7000E+01       0.3628E-02       0.2651E-04
       0.8000E+01       0.1357E-02       0.1341E-04
       0.9000E+01       0.4973E-03       0.8288E-05
       0.1000E+02       0.1785E-03       0.3424E-05
