Shear   Yield   Yield_err
       0.0000E+00       0.3133E+00       0.9739E-03
       0.5000E+01       0.3058E+00       0.1665E-02
       0.1000E+02       0.2635E+00       0.2370E-02
       0.1500E+02       0.2077E+00       0.6434E-02
       0.2000E+02       0.1636E+00       0.3161E-02
       0.2500E+02       0.8036E-01       0.3898E-02
       0.3000E+02       0.4004E-01       0.2691E-02
       0.3500E+02       0.1370E-01       0.4740E-03
       0.4000E+02       0.3232E-02       0.4493E-03
       0.4500E+02       0.1427E-02       0.1815E-03
       0.5000E+02       0.3334E-03       0.9483E-04
