Shear   Yield   Yield_err
       0.0000E+00       0.1467E+00       0.7836E-03
       0.5000E+01       0.1840E+00       0.8569E-03
       0.1000E+02       0.2094E+00       0.9238E-03
       0.1500E+02       0.2268E+00       0.7663E-03
       0.2000E+02       0.2345E+00       0.1120E-02
       0.2500E+02       0.2309E+00       0.1161E-02
       0.3000E+02       0.2132E+00       0.1137E-02
       0.3500E+02       0.1845E+00       0.1370E-02
       0.4000E+02       0.1496E+00       0.1170E-02
       0.4500E+02       0.1168E+00       0.9433E-03
       0.5000E+02       0.8619E-01       0.9648E-03
