Shear   Yield   Yield_err
       0.0000E+00       0.1579E+00       0.7991E-03
       0.5000E+01       0.1699E+00       0.9422E-03
       0.1000E+02       0.1704E+00       0.7621E-03
       0.1500E+02       0.1695E+00       0.7193E-03
       0.2000E+02       0.1677E+00       0.8232E-03
       0.2500E+02       0.1591E+00       0.9080E-03
       0.3000E+02       0.1446E+00       0.8276E-03
       0.3500E+02       0.1241E+00       0.8072E-03
       0.4000E+02       0.1017E+00       0.8421E-03
       0.4500E+02       0.7996E-01       0.8212E-03
       0.5000E+02       0.5956E-01       0.7162E-03
