Shear   Yield   Yield_err
       0.0000E+00       0.9982E-01       0.4555E-03
       0.5000E+01       0.1109E+00       0.7000E-03
       0.1000E+02       0.1151E+00       0.7031E-03
       0.1500E+02       0.1196E+00       0.8357E-03
       0.2000E+02       0.1227E+00       0.7138E-03
       0.2500E+02       0.1198E+00       0.6772E-03
       0.3000E+02       0.1123E+00       0.8335E-03
       0.3500E+02       0.1001E+00       0.6958E-03
       0.4000E+02       0.8476E-01       0.7694E-03
       0.4500E+02       0.6610E-01       0.6697E-03
       0.5000E+02       0.4863E-01       0.5717E-03
