Shear   Yield   Yield_err
       0.0000E+00       0.1019E+00       0.7086E-03
       0.5000E+01       0.1208E+00       0.8180E-03
       0.1000E+02       0.1315E+00       0.7614E-03
       0.1500E+02       0.1360E+00       0.7881E-03
       0.2000E+02       0.1275E+00       0.9129E-03
       0.2500E+02       0.1117E+00       0.7986E-03
       0.3000E+02       0.8819E-01       0.9158E-03
       0.3500E+02       0.6130E-01       0.7470E-03
       0.4000E+02       0.4017E-01       0.5381E-03
       0.4500E+02       0.2472E-01       0.4692E-03
       0.5000E+02       0.1522E-01       0.2691E-03
