Shear   Yield   Yield_err
       0.0000E+00       0.9351E-01       0.6159E-03
       0.5000E+01       0.1462E+00       0.8035E-03
       0.1000E+02       0.1809E+00       0.9614E-03
       0.1500E+02       0.1932E+00       0.1070E-02
       0.2000E+02       0.1889E+00       0.1046E-02
       0.2500E+02       0.1617E+00       0.1312E-02
       0.3000E+02       0.1225E+00       0.1348E-02
       0.3500E+02       0.8513E-01       0.1143E-02
       0.4000E+02       0.5479E-01       0.8771E-03
       0.4500E+02       0.3382E-01       0.5147E-03
       0.5000E+02       0.2066E-01       0.4997E-03
