Shear   Yield   Yield_err
       0.0000E+00       0.2018E+00       0.1084E-02
       0.5000E+01       0.2266E+00       0.1195E-02
       0.1000E+02       0.2472E+00       0.9146E-03
       0.1500E+02       0.2686E+00       0.9939E-03
       0.2000E+02       0.2865E+00       0.1102E-02
       0.2500E+02       0.2943E+00       0.9972E-03
       0.3000E+02       0.2920E+00       0.1306E-02
       0.3500E+02       0.2770E+00       0.1227E-02
       0.4000E+02       0.2419E+00       0.1515E-02
       0.4500E+02       0.1953E+00       0.2027E-02
       0.5000E+02       0.1440E+00       0.1477E-02
