Time    Correlation     Error
0.000000000000000000e+00 -1.477826152936706440e-04 9.674965173485371194e-05
2.500000000000000139e-02 -1.418901928966626036e-04 1.082957747185813390e-04
5.000000000000000278e-02 -1.433430417096509643e-04 1.760026254749543276e-04
7.499999999999999722e-02 -7.152480933147464261e-05 1.579491116008140681e-04
1.000000000000000056e-01 -6.279974949956468593e-05 2.185515344184397741e-04
1.250000000000000000e-01 -5.545117898677620751e-05 1.916587469829268350e-04
1.499999999999999944e-01 -5.487713651348424950e-05 1.695868854803291416e-04
1.750000000000000167e-01 -7.150382756830886693e-05 2.079401729192279457e-04
2.000000000000000111e-01 -2.711323642864971184e-06 1.759559577938800336e-04
2.250000000000000056e-01 -4.212739200670778672e-05 1.407111410553302461e-04
2.500000000000000000e-01 3.107188333434374172e-06 1.297200837341885534e-04
2.750000000000000222e-01 -3.029260556319801538e-06 1.993807170477023070e-04
2.999999999999999889e-01 -3.525645140484700988e-05 2.115471343529313672e-04
3.250000000000000111e-01 1.206193239289277130e-05 1.359085622120541066e-04
3.500000000000000333e-01 -3.142710141675053581e-05 1.974114674044100820e-04
3.750000000000000000e-01 -3.054636541471588980e-05 1.887118673200205074e-04
4.000000000000000222e-01 -7.083016018471499100e-05 1.522088946681814212e-04
4.250000000000000444e-01 -6.551830571533135133e-05 1.554266612665172775e-04
4.500000000000000111e-01 8.196852985198343832e-07 1.364140042510579326e-04
4.750000000000000333e-01 -2.030484112816033495e-05 9.179302653004924191e-05
5.000000000000000000e-01 -3.916815557919451008e-07 1.485927899282229743e-04
5.250000000000000222e-01 1.686579190317838293e-05 1.187952371691427405e-04
5.500000000000000444e-01 2.039727672348834317e-05 1.695163704781385452e-04
5.750000000000000666e-01 -7.110080639599614286e-06 1.113650049190149043e-04
5.999999999999999778e-01 2.040349146237296907e-05 1.644518324127659695e-04
6.250000000000000000e-01 2.157780122158115056e-05 1.500485442585978903e-04
6.500000000000000222e-01 -1.768379101666217522e-05 1.609734686183780621e-04
6.750000000000000444e-01 2.310837519866326548e-05 1.678297672578939464e-04
7.000000000000000666e-01 -3.121576047707130819e-05 1.184196336651304100e-04
7.250000000000000888e-01 -8.129322984859465461e-06 1.350596315755838600e-04
7.500000000000000000e-01 1.774057621412861299e-05 9.004931719046314930e-05
7.750000000000000222e-01 1.908376448050974616e-05 1.218183803741695447e-04
8.000000000000000444e-01 -8.051229807041205264e-05 1.127082846944272047e-04
8.250000000000000666e-01 -3.732350088369307126e-05 1.489821719477491208e-04
8.500000000000000888e-01 -2.426420629041137200e-05 1.645638683539481304e-04
8.750000000000000000e-01 -3.978195255245342294e-05 1.264489701832369228e-04
9.000000000000000222e-01 2.495255897114190269e-06 1.508648361784514964e-04
9.250000000000000444e-01 3.987366523909019602e-05 1.459640287487930601e-04
9.500000000000000666e-01 4.691563969892731389e-05 1.461724535449401526e-04
9.750000000000000888e-01 -5.039652587851828618e-05 2.106003842128915872e-04
1.000000000000000000e+00 3.688613402418883383e-05 1.177826970362818074e-04
1.025000000000000133e+00 3.306680730924271567e-05 1.176929068013344583e-04
1.050000000000000044e+00 5.105485053724656976e-07 1.899487010071416624e-04
1.074999999999999956e+00 5.525394548080431314e-05 1.317466656176448456e-04
1.100000000000000089e+00 5.441624144648104930e-05 9.489263170674172446e-05
1.125000000000000000e+00 5.178222307544444187e-05 1.676718863633973257e-04
1.150000000000000133e+00 -5.651780312667941959e-05 1.521317123374503759e-04
1.175000000000000044e+00 -4.598028403898779537e-06 1.186844471471264315e-04
1.199999999999999956e+00 -3.956228133470962311e-05 1.394947194549759717e-04
1.225000000000000089e+00 -8.632235178307468343e-06 1.193911619489866470e-04
1.250000000000000000e+00 3.065395078682697512e-05 8.327253394623555848e-05
1.275000000000000133e+00 2.070712535711671933e-05 8.401006306454696939e-05
1.300000000000000044e+00 -5.547709465725802900e-05 1.376135164143304590e-04
1.324999999999999956e+00 -3.160281361990480018e-05 1.035680216876066074e-04
1.350000000000000089e+00 -4.538245084000635952e-05 1.080417226162050913e-04
1.375000000000000000e+00 -4.775116448295646792e-05 1.216875467131244405e-04
1.400000000000000133e+00 -5.462603175090952057e-06 1.047433719817222089e-04
1.425000000000000044e+00 -9.426812959800746195e-06 1.124339422319974480e-04
1.450000000000000178e+00 -4.348739075905605218e-05 1.170325795865931968e-04
1.475000000000000089e+00 -9.685197619485608200e-06 1.510626779643699583e-04
1.500000000000000000e+00 1.351085264340579141e-05 1.335729611426743346e-04
