Time    Correlation     Error
0.000000000000000000e+00 -6.729101521125412924e-04 2.025192236864538982e-04
2.500000000000000139e-02 -4.916534511445841372e-04 2.009162828625996749e-04
5.000000000000000278e-02 -4.414989662276662570e-04 2.857780540466836735e-04
7.499999999999999722e-02 -3.305424977454162480e-04 2.700673552528903387e-04
1.000000000000000056e-01 -2.648244933276601735e-04 2.315319300245957093e-04
1.250000000000000000e-01 -2.816340173874423507e-04 2.928157026341768419e-04
1.499999999999999944e-01 -2.479943544022668897e-04 2.779325333641915661e-04
1.750000000000000167e-01 -2.735114168633162634e-04 2.117125146342929123e-04
2.000000000000000111e-01 -1.837577081098813281e-04 2.349859356964228508e-04
2.250000000000000056e-01 -8.357184128475986338e-05 2.219261739175186542e-04
2.500000000000000000e-01 -5.184539133074612390e-05 2.524030154501870848e-04
2.750000000000000222e-01 -7.314228495464516512e-05 2.291262430685555326e-04
2.999999999999999889e-01 -4.868967362771440117e-05 3.395335217443129451e-04
3.250000000000000111e-01 1.655106680039880140e-05 2.097011409256776930e-04
3.500000000000000333e-01 -1.122128053112016711e-05 2.366485416680018492e-04
3.750000000000000000e-01 -5.873565443819525129e-05 2.437022092486824465e-04
4.000000000000000222e-01 -1.279956068644198786e-05 2.108981324399668159e-04
4.250000000000000444e-01 -5.099809132029019894e-05 2.083134359140777117e-04
4.500000000000000111e-01 3.038104141052290502e-05 2.107494942316436319e-04
4.750000000000000333e-01 6.894388270857017200e-05 1.783607598207555961e-04
5.000000000000000000e-01 1.370767152167472907e-05 1.914759579215379688e-04
5.250000000000000222e-01 1.551215935347892774e-04 1.602167384729688364e-04
5.500000000000000444e-01 1.844060965674289895e-04 1.737389414779512593e-04
5.750000000000000666e-01 1.171549084800950632e-04 2.059649820279095881e-04
5.999999999999999778e-01 1.115798338077383185e-04 1.978545983685724846e-04
6.250000000000000000e-01 7.890044641687824270e-05 1.986245785155786776e-04
6.500000000000000222e-01 -7.013328736126629367e-05 1.877958472902381743e-04
6.750000000000000444e-01 3.103839145614916963e-05 8.818830450684700059e-05
7.000000000000000666e-01 4.202514604969525126e-05 2.689833901626530904e-04
7.250000000000000888e-01 4.074585341666212419e-05 1.552373470849937936e-04
7.500000000000000000e-01 1.353614619756175036e-04 1.502444204249652208e-04
7.750000000000000222e-01 5.038305222685155501e-05 1.906189756217744322e-04
8.000000000000000444e-01 -7.266193000912872318e-05 1.870469474934419792e-04
8.250000000000000666e-01 -4.560738909029169930e-06 2.675977112811769756e-04
8.500000000000000888e-01 4.632114456904768416e-05 1.300056564550872693e-04
8.750000000000000000e-01 9.364366530135309280e-06 2.333598485464406997e-04
9.000000000000000222e-01 4.270457371060130014e-05 2.191607313288051139e-04
9.250000000000000444e-01 1.285795203590215546e-04 1.520987586759256103e-04
9.500000000000000666e-01 1.403126265553849617e-04 2.082381933260517488e-04
9.750000000000000888e-01 1.164918905733708333e-05 2.152237837444535688e-04
1.000000000000000000e+00 1.151908136722358848e-04 1.851210961810465850e-04
1.025000000000000133e+00 9.924452394086545246e-05 1.908388558487404067e-04
1.050000000000000044e+00 8.772448375496500286e-05 1.666016086928024330e-04
1.074999999999999956e+00 1.896369054173289732e-04 2.164907613252268288e-04
1.100000000000000089e+00 2.404778433303582461e-04 1.791929842233737011e-04
1.125000000000000000e+00 2.455314992075280757e-04 2.083348908874523388e-04
1.150000000000000133e+00 1.607127966129669658e-05 1.887132198233548795e-04
1.175000000000000044e+00 2.050625713946454892e-04 2.121306496234908140e-04
1.199999999999999956e+00 5.237921525340805563e-05 1.437919244290928103e-04
1.225000000000000089e+00 5.877862737306513858e-05 1.401970515647707634e-04
1.250000000000000000e+00 6.913021859607952136e-05 1.264128877194465987e-04
1.275000000000000133e+00 3.232526770019095982e-05 1.799477801882135573e-04
1.300000000000000044e+00 -6.057198266543467331e-05 1.952385304003053583e-04
1.324999999999999956e+00 -6.279531326660926533e-05 1.671431578644958307e-04
1.350000000000000089e+00 -2.273648387043566976e-05 2.024577495568326887e-04
1.375000000000000000e+00 -2.133750671690731762e-05 1.285746012404458095e-04
1.400000000000000133e+00 -7.151659801729999761e-05 2.558764799493165511e-04
1.425000000000000044e+00 -1.233830505229703434e-05 1.183258645603806058e-04
1.450000000000000178e+00 -2.026797323715541103e-05 1.715654839726910128e-04
1.475000000000000089e+00 -1.417747225689131281e-05 2.907733917766522195e-04
1.500000000000000000e+00 3.807984966092626460e-05 2.666414166313372017e-04
