Time    Correlation     Error
0.000000000000000000e+00 -5.251275368276491894e-04 5.251275368276491894e-04
2.500000000000000139e-02 -3.497632582480258881e-04 3.497632582480258881e-04
5.000000000000000278e-02 -2.981559245151144013e-04 2.981559245151144013e-04
7.499999999999999722e-02 -2.590176884191691675e-04 2.590176884191691675e-04
1.000000000000000056e-01 -2.020247438326711054e-04 2.020247438326711054e-04
1.250000000000000000e-01 -2.261828384008790602e-04 2.261828384008790602e-04
1.499999999999999944e-01 -1.931172178935014472e-04 1.931172178935014472e-04
1.750000000000000167e-01 -2.020075892931322281e-04 2.020075892931322281e-04
2.000000000000000111e-01 -1.810463844586690573e-04 1.810463844586690573e-04
2.250000000000000056e-01 -4.144444927332568702e-05 4.144444927332568702e-05
2.500000000000000000e-01 -5.495257965673349960e-05 5.495257965673349960e-05
2.750000000000000222e-01 -7.011302439165756893e-05 7.011302439165756893e-05
2.999999999999999889e-01 -1.343322221932785576e-05 1.343322221932785576e-05
3.250000000000000111e-01 4.489134399429661579e-06 -4.489134399429661579e-06
3.500000000000000333e-01 2.020582088695377297e-05 -2.020582088695377297e-05
3.750000000000000000e-01 -2.818928902721118537e-05 2.818928902721118537e-05
4.000000000000000222e-01 5.803059950018896456e-05 -5.803059950018896456e-05
4.250000000000000444e-01 1.452021439447004381e-05 -1.452021439447004381e-05
4.500000000000000111e-01 2.956135610179821960e-05 -2.956135610179821960e-05
4.750000000000000333e-01 8.924872383390680404e-05 -8.924872383390680404e-05
5.000000000000000000e-01 1.409935307783161186e-05 -1.409935307783161186e-05
5.250000000000000222e-01 1.382558016323948201e-04 -1.382558016323948201e-04
5.500000000000000444e-01 1.640088198440636694e-04 -1.640088198440636694e-04
5.750000000000000666e-01 1.242649891151525912e-04 -1.242649891151525912e-04
5.999999999999999778e-01 9.117634233963001482e-05 -9.117634233963001482e-05
6.250000000000000000e-01 5.732264518616414235e-05 -5.732264518616414235e-05
6.500000000000000222e-01 -5.244949634612694478e-05 5.244949634612694478e-05
6.750000000000000444e-01 7.930016243881677485e-06 -7.930016243881677485e-06
7.000000000000000666e-01 7.324090651855685863e-05 -7.324090651855685863e-05
7.250000000000000888e-01 4.887517639726723793e-05 -4.887517639726723793e-05
7.500000000000000000e-01 1.176208857616101112e-04 -1.176208857616101112e-04
7.750000000000000222e-01 3.129928774221468486e-05 -3.129928774221468486e-05
8.000000000000000444e-01 7.850368059872380949e-06 -7.850368059872380949e-06
8.250000000000000666e-01 3.276276197031191550e-05 -3.276276197031191550e-05
8.500000000000000888e-01 7.058535085424922078e-05 -7.058535085424922078e-05
8.750000000000000000e-01 4.914631908538857761e-05 -4.914631908538857761e-05
9.000000000000000222e-01 4.020931781289760205e-05 -4.020931781289760205e-05
9.250000000000000444e-01 8.870585511331353077e-05 -8.870585511331353077e-05
9.500000000000000666e-01 9.339698685841558144e-05 -9.339698685841558144e-05
9.750000000000000888e-01 6.204571493415578774e-05 -6.204571493415578774e-05
1.000000000000000000e+00 7.830467964196896613e-05 -7.830467964196896613e-05
1.025000000000000133e+00 6.617771662896232150e-05 -6.617771662896232150e-05
1.050000000000000044e+00 8.721393525840671055e-05 -8.721393525840671055e-05
1.074999999999999956e+00 1.343829599516538408e-04 -1.343829599516538408e-04
1.100000000000000089e+00 1.860616018919125647e-04 -1.860616018919125647e-04
1.125000000000000000e+00 1.937492761372672180e-04 -1.937492761372672180e-04
1.150000000000000133e+00 7.258908278763576138e-05 -7.258908278763576138e-05
1.175000000000000044e+00 2.096605997947559308e-04 -2.096605997947559308e-04
1.199999999999999956e+00 9.194149658045825118e-05 -9.194149658045825118e-05
1.225000000000000089e+00 6.741086255248330259e-05 -6.741086255248330259e-05
1.250000000000000000e+00 3.847626779990842436e-05 -3.847626779990842436e-05
1.275000000000000133e+00 1.161814234519886678e-05 -1.161814234519886678e-05
1.300000000000000044e+00 -5.094888017401210883e-06 5.094888017401210883e-06
1.324999999999999956e+00 -3.119249964697312367e-05 3.119249964697312367e-05
1.350000000000000089e+00 2.264596697647280887e-05 -2.264596697647280887e-05
1.375000000000000000e+00 2.641365777270587720e-05 -2.641365777270587720e-05
1.400000000000000133e+00 -6.605399484563568007e-05 6.605399484563568007e-05
1.425000000000000044e+00 -2.911492094492818068e-06 2.911492094492818068e-06
1.450000000000000178e+00 2.321941751321221424e-05 -2.321941751321221424e-05
1.475000000000000089e+00 -4.492274649295357855e-06 4.492274649295357855e-06
1.500000000000000000e+00 2.456899702121540031e-05 -2.456899702121540031e-05
