Time    Correlation     Error
0.000000000000000000e+00 -1.049077737757919508e-02 5.669935202719029359e-04
2.500000000000000139e-02 -8.425022666223790438e-03 5.653621564108437213e-04
5.000000000000000278e-02 -8.970988626544501229e-03 4.098896809038744945e-04
7.499999999999999722e-02 -9.021353572542429450e-03 6.065488283546458838e-04
1.000000000000000056e-01 -8.840295354161097768e-03 7.561135219046595610e-04
1.250000000000000000e-01 -8.356187964218355496e-03 4.244137984371696283e-04
1.499999999999999944e-01 -7.569225347556772163e-03 6.146621052209715616e-04
1.750000000000000167e-01 -7.367601962557497781e-03 5.975026627956672807e-04
2.000000000000000111e-01 -6.740110523351524122e-03 5.350412276798478372e-04
2.250000000000000056e-01 -6.208881394108177812e-03 5.242900911849882268e-04
2.500000000000000000e-01 -5.547099525995501275e-03 9.645331824813432441e-04
2.750000000000000222e-01 -4.829720818266295887e-03 8.146624712364103132e-04
2.999999999999999889e-01 -4.076490784710516506e-03 3.470062904402171420e-04
3.250000000000000111e-01 -4.000987009779887089e-03 4.954554683194133113e-04
3.500000000000000333e-01 -3.113877360572112236e-03 8.328276630595041804e-04
3.750000000000000000e-01 -2.964867081186874000e-03 9.484047301135032065e-04
4.000000000000000222e-01 -2.562937180503513553e-03 5.186579391527919433e-04
4.250000000000000444e-01 -2.261300809565614141e-03 7.880171266577424682e-04
4.500000000000000111e-01 -1.263469605435313349e-03 9.272069044766270305e-04
4.750000000000000333e-01 -1.018509925030086725e-03 1.055507072565625183e-03
5.000000000000000000e-01 -4.964586671931461859e-04 7.883719668550736009e-04
5.250000000000000222e-01 -2.297023306344417315e-04 6.411070430268390628e-04
5.500000000000000444e-01 -6.654784737457272996e-05 7.166283428303719168e-04
5.750000000000000666e-01 5.997798639155914541e-04 4.049048394647609267e-04
5.999999999999999778e-01 8.477038774999966003e-04 5.845075408660360466e-04
6.250000000000000000e-01 8.227561467985735223e-04 2.580941917931952028e-04
6.500000000000000222e-01 8.385630413989709087e-04 5.386416439064849572e-04
6.750000000000000444e-01 1.086185725790265273e-03 5.084475193198816729e-04
7.000000000000000666e-01 1.448685853487496292e-03 9.290008891392330815e-04
7.250000000000000888e-01 1.367994810435928851e-03 4.666319718092440372e-04
7.500000000000000000e-01 1.619408076465579010e-03 5.445357449638101120e-04
7.750000000000000222e-01 1.773813363484336115e-03 4.893146101706666220e-04
8.000000000000000444e-01 1.580912794879535312e-03 4.207487964585854756e-04
8.250000000000000666e-01 1.723662737246343338e-03 6.675195855682340825e-04
8.500000000000000888e-01 1.682529720257383565e-03 7.178879110329642980e-04
8.750000000000000000e-01 1.533361669227914417e-03 4.260653689744074994e-04
9.000000000000000222e-01 1.433121386721540515e-03 5.164487786748705404e-04
9.250000000000000444e-01 1.723309768052919133e-03 5.078195542345607634e-04
9.500000000000000666e-01 1.307210787411862331e-03 7.222059151575121235e-04
9.750000000000000888e-01 1.394614996206163752e-03 5.529083191739319258e-04
1.000000000000000000e+00 1.053978249756089194e-03 7.136937302305359230e-04
1.025000000000000133e+00 1.245960627772522283e-03 7.775376758273086324e-04
1.050000000000000044e+00 9.028515484013927440e-04 7.746266595037899511e-04
1.074999999999999956e+00 9.483145922958444380e-04 7.829229433358200719e-04
1.100000000000000089e+00 8.671413983511275670e-04 4.410427420628545200e-04
1.125000000000000000e+00 7.612606954382164937e-04 5.966329013158311496e-04
1.150000000000000133e+00 6.630721082296495367e-04 7.102678063987150504e-04
1.175000000000000044e+00 5.463897872913126442e-04 7.333145992132667802e-04
1.199999999999999956e+00 3.423241138086251462e-04 9.033474941526067285e-04
1.225000000000000089e+00 2.878178495429969844e-04 5.703442068752951873e-04
1.250000000000000000e+00 2.460742765752810040e-04 6.799768888087377597e-04
1.275000000000000133e+00 1.138524966887169366e-04 6.223289669963944252e-04
1.300000000000000044e+00 1.172305240855618685e-04 5.614740074442647801e-04
1.324999999999999956e+00 1.144405361601791361e-05 6.129776874727010634e-04
1.350000000000000089e+00 -1.521005177493914393e-04 4.801532180205610048e-04
1.375000000000000000e+00 -3.696296241845684061e-04 6.639501633910106391e-04
1.400000000000000133e+00 -4.102278600885855722e-04 5.120661096029132655e-04
1.425000000000000044e+00 -3.131273910051190828e-04 6.918024127344974458e-04
1.450000000000000178e+00 -2.016277181693198973e-04 3.455259031276281391e-04
1.475000000000000089e+00 -2.044069932772785093e-04 5.909472032661818594e-04
1.500000000000000000e+00 -1.195622795892720204e-05 5.397218305112199679e-04
