Time    Correlation     Error
0.000000000000000000e+00 8.149413160484673610e-03 4.680277334886360227e-04
2.500000000000000139e-02 8.972264423166656858e-03 7.828038208572742898e-04
5.000000000000000278e-02 5.707960171938589872e-03 6.419325509378180509e-04
7.499999999999999722e-02 3.441788925844242730e-03 1.070815080989113337e-03
1.000000000000000056e-01 2.044837715615653410e-03 7.886213293172653896e-04
1.250000000000000000e-01 8.994765107443632168e-04 7.401175801158146406e-04
1.499999999999999944e-01 6.088746714148663298e-04 8.141044625054106622e-04
1.750000000000000167e-01 -4.281696827742972780e-04 6.137708710521012434e-04
2.000000000000000111e-01 -7.732563977894170177e-04 8.347046848555757020e-04
2.250000000000000056e-01 -9.543998314979257238e-04 1.266232103288814081e-03
2.500000000000000000e-01 -1.012343406847940504e-03 1.282519090577247936e-03
2.750000000000000222e-01 -8.218679778211052242e-04 1.344993415747982972e-03
2.999999999999999889e-01 -7.005208652047828673e-04 6.674493393453666658e-04
3.250000000000000111e-01 -1.523494122376117723e-03 6.368675268468988434e-04
3.500000000000000333e-01 -1.304045396211892926e-03 9.464684408269615282e-04
3.750000000000000000e-01 -1.603056743838060863e-03 8.321572040838456702e-04
4.000000000000000222e-01 -1.451651657382856900e-03 5.447447323734956170e-04
4.250000000000000444e-01 -1.532999369113891962e-03 1.025889421926022430e-03
4.500000000000000111e-01 -1.006764036972807464e-03 1.028110704407989018e-03
4.750000000000000333e-01 -1.217696208213639572e-03 1.194602735355668622e-03
5.000000000000000000e-01 -8.137534880079215754e-04 9.555135492069136280e-04
5.250000000000000222e-01 -9.425999987201668078e-04 9.781025681805063411e-04
5.500000000000000444e-01 -9.306206567939210661e-04 5.641328265199856574e-04
5.750000000000000666e-01 -4.330308507395874934e-04 5.412613652418478546e-04
5.999999999999999778e-01 -7.401521557133444512e-04 7.297020190883255798e-04
6.250000000000000000e-01 -7.768307636218904936e-04 6.398261563927269170e-04
6.500000000000000222e-01 -8.193950345382151673e-04 8.302214196459878999e-04
6.750000000000000444e-01 -7.824886244324645232e-04 9.252318456094608089e-04
7.000000000000000666e-01 -3.326796190867502387e-04 9.778429056274107710e-04
7.250000000000000888e-01 -2.794385663097734523e-04 9.250370376300569211e-04
7.500000000000000000e-01 2.826340267784175060e-06 8.669212022362073706e-04
7.750000000000000222e-01 7.935478011319288863e-05 1.039715949773930594e-03
8.000000000000000444e-01 -2.858609871488790007e-04 7.352819617506219140e-04
8.250000000000000666e-01 -1.499708496139918199e-05 9.364607470584714695e-04
8.500000000000000888e-01 8.851261761984243766e-06 1.063822388438778613e-03
8.750000000000000000e-01 1.410001697056236470e-05 6.686923020983439811e-04
9.000000000000000222e-01 -1.058843013671601001e-04 8.294603043960882679e-04
9.250000000000000444e-01 5.437189241544410166e-04 6.965796858509122093e-04
9.500000000000000666e-01 2.451428357019376156e-04 1.051575542927143904e-03
9.750000000000000888e-01 4.185078861024534936e-04 1.103727367773769431e-03
1.000000000000000000e+00 1.979023898555867681e-04 9.031455418480801309e-04
1.025000000000000133e+00 6.703196976674704027e-04 9.645966230501885549e-04
1.050000000000000044e+00 6.615212427860860328e-04 7.858475067775999188e-04
1.074999999999999956e+00 2.729240539681829681e-04 4.055077258773378841e-04
1.100000000000000089e+00 1.198465057804936089e-04 6.740917484879449442e-04
1.125000000000000000e+00 2.080429598692107513e-04 7.605469461818745690e-04
1.150000000000000133e+00 4.883069420357313058e-04 8.543731463637168960e-04
1.175000000000000044e+00 4.328883609579389194e-04 6.576513160409046916e-04
1.199999999999999956e+00 3.762792105543684082e-04 8.669760538133232516e-04
1.225000000000000089e+00 2.887088351822804724e-04 8.664442738316172803e-04
1.250000000000000000e+00 2.739006292843611007e-04 9.486840241116134076e-04
1.275000000000000133e+00 4.147079901592686489e-04 7.347847267512785593e-04
1.300000000000000044e+00 2.809123353923828354e-04 7.792180922064718745e-04
1.324999999999999956e+00 -1.510799939285283802e-05 9.895104494936704520e-04
1.350000000000000089e+00 -2.491214022681623999e-04 8.557293477160666118e-04
1.375000000000000000e+00 -1.554531063630894554e-04 5.749256662800242106e-04
1.400000000000000133e+00 -1.545730022453655134e-04 6.837223648512372187e-04
1.425000000000000044e+00 -2.078072558797389106e-05 9.405199010378276952e-04
1.450000000000000178e+00 2.926861773923934815e-04 7.701760655849759470e-04
1.475000000000000089e+00 1.465150023154021314e-04 8.826814531135555343e-04
1.500000000000000000e+00 3.789499562860583763e-04 8.481524941778461257e-04
