Time    Correlation     Error
0.000000000000000000e+00 1.864019053805872697e-02 -1.864019053805872697e-02
2.500000000000000139e-02 1.739728708937639604e-02 -1.739728708937639604e-02
5.000000000000000278e-02 1.467894879846536396e-02 -1.467894879846536396e-02
7.499999999999999722e-02 1.246314249839233432e-02 -1.246314249839233432e-02
1.000000000000000056e-01 1.088513306977643633e-02 -1.088513306977643633e-02
1.250000000000000000e-01 9.255664474965017222e-03 -9.255664474965017222e-03
1.499999999999999944e-01 8.178100018972917634e-03 -8.178100018972917634e-03
1.750000000000000167e-01 6.939432279794916988e-03 -6.939432279794916988e-03
2.000000000000000111e-01 5.966854125560397751e-03 -5.966854125560397751e-03
2.250000000000000056e-01 5.254481562596309899e-03 -5.254481562596309899e-03
2.500000000000000000e-01 4.534756119133079300e-03 -4.534756119133079300e-03
2.750000000000000222e-01 4.007852840441602713e-03 -4.007852840441602713e-03
2.999999999999999889e-01 3.375969919502917749e-03 -3.375969919502917749e-03
3.250000000000000111e-01 2.477492887398957677e-03 -2.477492887398957677e-03
3.500000000000000333e-01 1.809831964354716117e-03 -1.809831964354716117e-03
3.750000000000000000e-01 1.361810337341161272e-03 -1.361810337341161272e-03
4.000000000000000222e-01 1.111285523103112960e-03 -1.111285523103112960e-03
4.250000000000000444e-01 7.283014404544499226e-04 -7.283014404544499226e-04
4.500000000000000111e-01 2.567055684693994588e-04 -2.567055684693994588e-04
4.750000000000000333e-01 -1.991862831776214479e-04 1.991862831776214479e-04
5.000000000000000000e-01 -3.172948208412261278e-04 3.172948208412261278e-04
5.250000000000000222e-01 -7.128976680916950187e-04 7.128976680916950187e-04
5.500000000000000444e-01 -8.640728094217675842e-04 8.640728094217675842e-04
5.750000000000000666e-01 -1.032810714660099870e-03 1.032810714660099870e-03
5.999999999999999778e-01 -1.587856033194693425e-03 1.587856033194693425e-03
6.250000000000000000e-01 -1.599586910414323203e-03 1.599586910414323203e-03
6.500000000000000222e-01 -1.657958075956443567e-03 1.657958075956443567e-03
6.750000000000000444e-01 -1.868674350240574680e-03 1.868674350240574680e-03
7.000000000000000666e-01 -1.781365472594224203e-03 1.781365472594224203e-03
7.250000000000000888e-01 -1.647433376773805528e-03 1.647433376773805528e-03
7.500000000000000000e-01 -1.616581736196000176e-03 1.616581736196000176e-03
7.750000000000000222e-01 -1.694458583385374762e-03 1.694458583385374762e-03
8.000000000000000444e-01 -1.866773782038198912e-03 1.866773782038198912e-03
8.250000000000000666e-01 -1.738659822210225723e-03 1.738659822210225723e-03
8.500000000000000888e-01 -1.673678458518743865e-03 1.673678458518743865e-03
8.750000000000000000e-01 -1.519261652289309638e-03 1.519261652289309638e-03
9.000000000000000222e-01 -1.539005688098159155e-03 1.539005688098159155e-03
9.250000000000000444e-01 -1.179590843917766073e-03 1.179590843917766073e-03
9.500000000000000666e-01 -1.062067951711936128e-03 1.062067951711936128e-03
9.750000000000000888e-01 -9.761071101333119050e-04 9.761071101333119050e-04
1.000000000000000000e+00 -8.560758599305974114e-04 8.560758599305974114e-04
1.025000000000000133e+00 -5.756409301360170200e-04 5.756409301360170200e-04
1.050000000000000044e+00 -2.413303056111384959e-04 2.413303056111384959e-04
1.074999999999999956e+00 -6.753905383026767356e-04 6.753905383026767356e-04
1.100000000000000089e+00 -7.472948925600908510e-04 7.472948925600908510e-04
1.125000000000000000e+00 -5.532177355940179342e-04 5.532177355940179342e-04
1.150000000000000133e+00 -1.747651662091453896e-04 1.747651662091453896e-04
1.175000000000000044e+00 -1.135014263497817423e-04 1.135014263497817423e-04
1.199999999999999956e+00 3.395509673146807344e-05 -3.395509673146807344e-05
1.225000000000000089e+00 8.909856074421073767e-07 -8.909856074421073767e-07
1.250000000000000000e+00 2.782635268660516161e-05 -2.782635268660516161e-05
1.275000000000000133e+00 3.008554934789215091e-04 -3.008554934789215091e-04
1.300000000000000044e+00 1.636818113014283757e-04 -1.636818113014283757e-04
1.324999999999999956e+00 -2.655205302961594207e-05 2.655205302961594207e-05
1.350000000000000089e+00 -9.702088456370744080e-05 9.702088456370744080e-05
1.375000000000000000e+00 2.141765178434659744e-04 -2.141765178434659744e-04
1.400000000000000133e+00 2.556548578494605367e-04 -2.556548578494605367e-04
1.425000000000000044e+00 2.923466654111972485e-04 -2.923466654111972485e-04
1.450000000000000178e+00 4.943138955743192620e-04 -4.943138955743192620e-04
1.475000000000000089e+00 3.509219956035765473e-04 -3.509219956035765473e-04
1.500000000000000000e+00 3.909061842608960386e-04 -3.909061842608960386e-04
