costheta    P(costheta)
-9.579749162316071320e-01 2.853068772352909122e+00
-8.743970148388500174e-01 2.028737771518255961e+00
-7.908191134460930138e-01 1.571146548608014504e+00
-7.072412120533358992e-01 1.302759711126963760e+00
-6.236633106605787846e-01 1.029371876674216368e+00
-5.400854092678217810e-01 8.093280099195672150e-01
-4.565075078750646664e-01 7.234775619054411022e-01
-3.729296064823075518e-01 5.676131562875639247e-01
-2.893517050895504372e-01 4.234177436036453135e-01
-2.057738036967933226e-01 2.133758707923881781e-01
-1.221959023040362635e-01 1.375274167216566368e-01
-3.861800091127925993e-02 1.025204379197803967e-01
4.495990048147779916e-02 9.001794549053876437e-02
1.285378018742349138e-01 5.834496466979364332e-02
2.121157032669920284e-01 4.000797577357278340e-02
2.956936046597491430e-01 7.501495457544896453e-03
3.792715060525062576e-01 8.334994952827663207e-04
4.628494074452633722e-01 4.167497476413831170e-03
5.464273088380204868e-01 0.000000000000000000e+00
6.300052102307776014e-01 1.666998990565535027e-03
